,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
107200,NEOG,NEOGEN CORPORATION,US,Health Care Equipment & Supplies,BB,3.2,5.9,4.0,5.3
107391,NEU,NewMarket Corporation,US,Specialty Chemicals,BB,2.9,3.4,2.0,4.1
107643,NEWR,"NEW RELIC, INC",US,Software & Services,A,6.4,4.0,5.2,4.8
107831,NFG,NATIONAL FUEL GAS COMPANY,US,Utilities,BBB,5.0,3.7,8.9,6.0
108083,NFLX,"NETFLIX, INC",US,Media & Entertainment,BB,2.9,10.0,4.6,2.3
108336,NG,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,GB,Utilities,AAA,8.9,8.4,5.6,7.7
108337,NG,NOVAGOLD RESOURCES INC,CA,Metals and Mining - Precious Metals,A,6.5,2.9,4.8,7.0
108338,NG,WESTERN POWER DISTRIBUTION (EAST MIDLANDS) PLC,GB,Utilities,AA,8.1,8.3,7.5,6.2
108528,NI,NISOURCE INC,US,Utilities,AA,8.4,7.7,7.4,6.4
108781,NJR,NEW JERSEY RESOURCES CORPORATION,US,Utilities,A,6.7,8.9,5.4,4.9
108905,NKE,"NIKE, INC",US,"Textiles, Apparel & Luxury Goods",A,6.2,8.7,3.8,3.8
109158,NKTR,NEKTAR THERAPEUTICS,US,Pharmaceuticals,BBB,4.4,2.2,4.3,3.0
109346,NLOK,NORTONLIFELOCK INC,US,Software & Services,A,7.1,10.0,5.2,5.1
109599,NLSN,NIELSEN HOLDINGS PLC,US,Professional Services,A,6.9,10.0,6.3,5.7
109852,NNN,"NATIONAL RETAIL PROPERTIES, INC",US,Real Estate Management & Services,BB,3.2,3.0,3.3,6.2
110105,NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,US,Aerospace & Defense,AA,8.2,2.8,6.6,6.4
110106,NOC,Northrop Grumman Corporation,US,Aerospace & Defense,AA,8.2,3.2,5.7,6.1
110611,NOV,NOV INC,US,Energy Equipment & Services,A,6.0,7.3,7.8,4.8
110864,NOVA,SUNNOVA ENERGY INTERNATIONAL INC,US,Utilities,AA,8.1,8.7,4.0,7.1
110865,NOVT,NOVANTA INC,US,"Electronic Equipment, Instruments & Components",AA,7.4,3.3,4.9,6.2
111056,NOW,"SERVICENOW, INC",US,Software & Services,AA,8.3,6.2,6.2,5.3
111309,NRG,"NRG ENERGY, INC",US,Utilities,BB,3.3,3.8,4.8,4.7
111562,NRZ,NEW RESIDENTIAL INVESTMENT CORP,US,Asset Management & Custody Banks,B,1.5,6.7,2.7,4.2
111623,NSC,NORFOLK SOUTHERN CORPORATION,US,Road & Rail Transport,A,6.4,5.7,4.2,5.4
111876,NTAP,"NETAPP, INC",US,"Technology Hardware, Storage & Peripherals",A,6.7,4.7,4.4,5.7
112129,NTNX,"NUTANIX, INC",US,Software & Services,BBB,5.7,4.5,4.7,4.8
112382,NTRA,"NATERA, INC",US,Health Care Equipment & Supplies,BB,3.9,6.7,5.0,4.6
112511,NTRS,NORTHERN TRUST CORPORATION,US,Asset Management & Custody Banks,AA,8.2,10.0,5.7,5.0
112764,NUAN,"NUANCE COMMUNICATIONS, INC",US,Software & Services,A,7.1,5.1,5.3,6.4
113017,NUE,NUCOR CORPORATION,US,Steel,BBB,5.5,4.3,5.2,4.7
113270,NUVA,"NUVASIVE, INC",US,Health Care Equipment & Supplies,BBB,5.5,6.4,6.1,4.6
113394,NVAX,"NOVAVAX, INC",US,Biotechnology,BBB,4.5,7.1,4.8,3.7
113458,NVCR,NOVOCURE LIMITED,JE,Health Care Equipment & Supplies,A,5.8,6.4,5.4,5.7
113711,NVDA,NVIDIA CORPORATION,US,Semiconductors & Semiconductor Equipment,AAA,9.1,5.4,7.6,5.6
113964,NVR,"NVR, Inc",US,Real Estate Development & Diversified Activities,BBB,4.6,5.0,3.3,4.6
114217,NVRO,NEVRO CORP,US,Health Care Equipment & Supplies,BBB,5.5,6.3,5.8,4.9
114409,NVT,NVENT ELECTRIC PLC,GB,Electrical Equipment,BBB,4.4,3.5,5.6,6.1
114533,NVTA,INVITAE CORPORATION,US,Biotechnology,BB,3.4,2.9,3.8,5.9
114662,NWE,NORTHWESTERN CORPORATION,US,Utilities,A,6.7,6.0,4.0,7.2
114725,NWL,NEWELL BRANDS INC,US,Household Durables,A,6.2,7.7,3.2,5.9
114726,NWL,Netwealth Group Ltd,AU,Asset Management & Custody Banks,BB,3.5,7.0,3.3,6.4
115231,NWSA,NEWS CORPORATION,US,Media & Entertainment,B,2.1,8.9,4.3,1.8
115484,NXST,"NEXSTAR MEDIA GROUP, INC",US,Media & Entertainment,BB,4.0,8.0,5.7,3.0
115737,NYCB,"NEW YORK COMMUNITY BANCORP, INC",US,Banks,BB,3.0,0.0,3.2,4.3
115990,NYT,THE NEW YORK TIMES COMPANY,US,Media & Entertainment,BBB,5.4,7.3,4.3,5.2
116243,O,REALTY INCOME CORPORATION,US,Real Estate Management & Services,BBB,5.0,4.7,6.0,5.3
116496,OC,OWENS CORNING,US,Building Products,AA,7.7,5.9,7.2,5.4
116749,ODFL,"OLD DOMINION FREIGHT LINE, INC",US,Road & Rail Transport,A,6.7,3.9,3.1,6.4
117002,OGE,OGE ENERGY CORP,US,Utilities,A,7.0,6.6,4.4,6.4
117003,OGE,OKLAHOMA GAS AND ELECTRIC COMPANY,US,Utilities,A,6.1,6.0,3.8,6.1
117508,OGS,"ONE GAS, INC",US,Utilities,A,7.0,4.1,7.2,7.0
117760,OHI,"OMEGA HEALTHCARE INVESTORS, INC",US,Real Estate Management & Services,B,2.1,4.7,1.9,6.3
118013,OKE,"ONEOK PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",AA,8.1,5.9,7.0,5.4
118266,OKTA,"OKTA, INC",US,Software & Services,A,6.9,9.0,6.2,3.8
118519,OLED,UNIVERSAL DISPLAY CORPORATION,US,Semiconductors & Semiconductor Equipment,A,7.0,8.3,3.9,4.4
118772,OLLI,"OLLIES BARGAIN OUTLET HOLDINGS, INC",US,Retail - Consumer Discretionary,B,2.7,3.3,2.1,5.2
119025,OMC,OMNICOM GROUP INC,US,Media & Entertainment,BB,3.7,10.0,4.1,3.6
119278,OMCL,"OMNICELL, INC",US,Health Care Equipment & Supplies,BBB,4.5,8.3,4.8,5.3
119342,OMF,"ONEMAIN HOLDINGS, INC",US,Consumer Finance,BB,3.3,7.0,4.8,5.5
119595,ON,ON SEMICONDUCTOR CORPORATION,US,Semiconductors & Semiconductor Equipment,A,7.0,5.1,6.6,6.0
119848,ONEM,"1LIFE HEALTHCARE, INC",US,Health Care Providers & Services,A,6.3,6.3,6.0,4.2
119977,ORA,ORANGE SA,FR,Telecommunication Services,AA,7.6,10.0,6.6,4.7
119978,ORA,"ORMAT TECHNOLOGIES, INC",US,Utilities,A,7.0,8.6,4.5,5.2
119979,ORA,ORORA LIMITED,AU,Containers & Packaging,BBB,5.2,5.4,3.3,7.0
120352,ORCL,ORACLE CORPORATION,US,Software & Services,BBB,5.7,7.7,5.1,3.2
120605,ORI,OLD REPUBLIC INTERNATIONAL CORPORATION,US,Property & Casualty Insurance,B,2.1,2.5,3.3,4.3
120606,ORI,ORICA LIMITED,AU,Commodity Chemicals,AA,8.4,5.2,4.5,7.3
121111,ORLY,"OReilly Automotive, Inc",US,Retail - Consumer Discretionary,B,2.7,1.9,3.1,4.6
121364,OSH,"OAK STREET HEALTH, INC",US,Health Care Providers & Services,BBB,4.7,5.1,5.1,4.7
121429,OSK,OSHKOSH CORPORATION,US,Construction & Farm Machinery & Heavy Trucks,AA,8.2,3.5,7.2,6.4
121430,OSK,Osisko Mining Inc,CA,Metals and Mining - Precious Metals,A,5.9,2.4,4.9,7.3
121935,OTIS,OTIS WORLDWIDE CORPORATION,US,Industrial Machinery,BBB,5.4,4.9,2.1,6.9
122064,OUT,OUTFRONT MEDIA INC,US,Media & Entertainment,BBB,5.2,8.7,3.7,5.6
122125,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC",US,Health Care Equipment & Supplies,BB,3.7,6.5,4.2,5.2
122126,PACW,PACWEST BANCORP,US,Banks,BB,2.9,0.8,3.4,4.7
122187,PAG,PARAGON BANKING GROUP PLC,GB,Banks,AA,7.8,3.5,4.4,7.0
122188,PAG,"PENSKE AUTOMOTIVE GROUP, INC",US,Retail - Consumer Discretionary,B,2.4,2.0,5.7,2.0
122439,PANW,"PALO ALTO NETWORKS, INC",US,Software & Services,B,2.4,7.0,3.8,4.3
122692,PAYC,"PAYCOM SOFTWARE, INC",US,Software & Services,A,7.1,4.7,5.7,4.4
122945,PAYX,"PAYCHEX, INC",US,Software & Services,BBB,4.5,7.0,3.7,4.4
123198,PB,"PROSPERITY BANCSHARES, INC",US,Banks,BB,3.3,0.8,3.4,4.2
123451,PBCT,"PEOPLES UNITED FINANCIAL, INC",US,Banks,A,5.8,2.3,4.6,4.4
123704,PCAR,PACCAR INC,US,Construction & Farm Machinery & Heavy Trucks,BBB,5.1,3.9,5.3,4.6
123957,PCG,PG&E CORPORATION,US,Utilities,BB,4.2,4.5,7.4,7.5
124210,PCTY,PAYLOCITY HOLDING CORPORATION,US,Software & Services,A,6.2,4.0,5.0,5.3
124463,PEG,PSEG POWER LLC,US,Utilities,AA,8.1,8.3,4.9,5.3
124464,PEG,PUBLIC SERVICE ELECTRIC AND GAS COMPANY,US,Utilities,A,6.7,7.6,2.7,5.3
124969,PEGA,PEGASYSTEMS INC,US,Software & Services,BBB,5.5,4.4,4.1,5.8
125222,PEN,"PENUMBRA, INC",US,Health Care Equipment & Supplies,AA,7.9,6.3,7.2,5.2
125475,PENN,"PENN NATIONAL GAMING, INC",US,Casinos & Gaming,BB,3.7,5.7,3.4,5.7
125604,PEP,"Pepsico, Inc",US,Beverages,AA,8.4,6.3,5.3,6.6
125857,PFE,PFIZER INC,US,Pharmaceuticals,B,1.5,4.7,3.6,4.2
126110,PFG,"PRINCIPAL FINANCIAL GROUP, INC",US,Life & Health Insurance,BBB,5.3,6.7,5.2,4.6
126111,PFG,PROVIDENT FINANCIAL PLC,GB,Consumer Finance,BBB,5.7,10.0,3.0,7.2
126616,PFGC,PERFORMANCE FOOD GROUP COMPANY,US,Retail - Food & Staples,A,6.8,2.1,4.4,6.5
126869,PFSI,"PENNYMAC FINANCIAL SERVICES, INC",US,Banks,BBB,5.4,3.5,3.7,6.7
126998,PG,THE PROCTER & GAMBLE COMPANY,US,Household & Personal Products,A,6.8,6.3,4.2,5.4
127251,PGR,THE PROGRESSIVE CORPORATION,US,Property & Casualty Insurance,BBB,5.7,3.1,5.4,7.0
127504,PH,PARKER-HANNIFIN CORPORATION,US,Industrial Machinery,BBB,4.3,4.3,2.4,5.8
127757,PHM,"PHARMA MAR, SA",ES,Biotechnology,BB,4.1,3.5,4.3,5.5
127758,PHM,"PULTEGROUP, INC",US,Real Estate Development & Diversified Activities,BBB,4.7,4.3,2.9,6.0
128263,PII,POLARIS INC,US,Leisure Products,BB,4.2,4.9,2.8,7.2
128516,PINC,"PREMIER, INC",US,Health Care Providers & Services,A,6.7,7.2,6.4,4.9
128580,PINS,"PINTEREST, INC",US,Interactive Media & Services,B,2.7,6.2,2.4,4.1
128709,PK,PARK HOTELS & RESORTS INC,US,Real Estate Management & Services,BB,3.7,7.4,2.9,4.2
128770,PKG,PACKAGING CORPORATION OF AMERICA,US,Containers & Packaging,BB,3.9,4.7,5.1,5.2
129023,PKI,PARKLAND CORPORATION,CA,"Oil & Gas Refining, Marketing, Transportation & Storage",AA,7.9,5.7,6.3,7.1
129024,PKI,"PERKINELMER, INC",US,Health Care Equipment & Supplies,BBB,4.5,10.0,3.1,5.8
129529,PLD,PROLOGIS,US,Real Estate Management & Services,A,6.6,7.1,6.2,5.1
129782,PLNT,"PLANET FITNESS, INC",US,Hotels & Travel,A,6.6,5.0,5.5,5.4
130035,PLUG,PLUG POWER INC,US,Electrical Equipment,A,6.7,6.4,8.2,2.9
130100,PM,Philip Morris International Inc,US,Tobacco,BBB,4.8,3.1,3.0,4.9
130353,PNC,"THE PNC FINANCIAL SERVICES GROUP, INC",US,Banks,A,5.9,7.6,4.0,6.3
130606,PNFP,"PINNACLE FINANCIAL PARTNERS, INC",US,Banks,BBB,5.4,0.4,4.1,5.8
130731,PNM,"PNM RESOURCES, INC",US,Utilities,BBB,5.6,5.5,4.3,6.5
130855,PNW,PINNACLE WEST CAPITAL CORPORATION,US,Utilities,AA,7.9,7.2,7.7,5.7
131108,PODD,INSULET CORPORATION,US,Health Care Equipment & Supplies,AA,8.4,6.5,6.9,6.3
131361,POOL,POOL CORPORATION,US,Retail - Consumer Discretionary,AA,7.3,1.3,6.9,5.5
131614,POR,PORTLAND GENERAL ELECTRIC COMPANY,US,Utilities,A,6.8,6.6,4.0,6.4
131802,POST,Oesterreichische Post Aktiengesellschaft,AT,Air Freight & Logistics,AAA,9.5,8.3,6.5,6.0
131803,POST,"Post Holdings, Inc",US,Food Products,BB,4.1,2.0,5.0,4.8
132308,POWI,"POWER INTEGRATIONS, INC",US,Semiconductors & Semiconductor Equipment,BBB,5.5,6.4,4.2,5.7
132436,PPC,PEET LIMITED,AU,Real Estate Development & Diversified Activities,A,5.9,3.5,4.7,7.2
132437,PPC,PILGRIMS PRIDE CORPORATION,US,Food Products,BB,3.0,1.8,4.7,3.8
132438,PPC,PUBLIC POWER CORPORATION SA,GR,Utilities,BBB,4.9,5.6,3.0,4.2
133195,PPG,"PPG INDUSTRIES, INC",US,Specialty Chemicals,AA,7.6,7.9,2.0,4.3
133448,PPL,KENTUCKY UTILITIES COMPANY,US,Utilities,BB,3.7,4.4,4.4,6.8
133449,PPL,LOUISVILLE GAS AND ELECTRIC COMPANY,US,Utilities,BBB,4.6,4.7,4.5,6.2
133450,PPL,PEMBINA PIPELINE CORPORATION,CA,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.3,4.1,6.0,6.1
133451,PPL,"PPL CAPITAL FUNDING, INC",US,Utilities,BBB,5.4,4.8,6.7,6.8
133452,PPL,PPL ELECTRIC UTILITIES CORPORATION,US,Utilities,A,6.3,6.7,4.4,6.2
133453,PPL,WESTERN POWER DISTRIBUTION (SOUTH WALES) PLC,GB,Utilities,AA,8.1,8.3,7.5,6.2
134966,PRGO,PERRIGO COMPANY,US,Pharmaceuticals,A,6.4,3.3,3.7,6.0
134967,PRGO,PERRIGO COMPANY PUBLIC LIMITED COMPANY,IE,Pharmaceuticals,A,6.4,3.3,3.7,6.0
135472,PRI,"PRIMERICA, INC",US,Life & Health Insurance,BBB,5.5,6.2,3.7,6.1
135725,PRLB,"Proto Labs, Inc",US,Industrial Machinery,A,6.0,3.1,4.7,7.0
135789,PRU,PERSEUS MINING LIMITED,AU,Metals and Mining - Precious Metals,BBB,5.7,2.4,4.4,7.4
135790,PRU,"PRUDENTIAL FINANCIAL, INC",US,Life & Health Insurance,AA,8.2,8.2,5.3,6.0
135791,PRU,PRUDENTIAL PUBLIC LIMITED COMPANY,GB,Life & Health Insurance,AA,8.5,7.5,5.1,6.5
136548,PSA,PUBLIC STORAGE,US,Real Estate Management & Services,BB,3.9,4.5,3.8,5.8
136801,PSB,"PS BUSINESS PARKS, INC",US,Real Estate Management & Services,B,1.6,4.2,1.3,5.0
136989,PSN,PARSONS CORPORATION,US,Aerospace & Defense,B,2.8,2.1,1.8,4.4
136990,PSN,PERSIMMON PUBLIC LIMITED COMPANY,GB,Real Estate Development & Diversified Activities,A,7.1,4.4,4.6,7.7
137365,PSTG,"PURE STORAGE, INC",US,"Technology Hardware, Storage & Peripherals",BBB,4.5,4.1,4.2,5.0
137618,PSX,PHILLIPS 66,US,"Oil & Gas Refining, Marketing, Transportation & Storage",BBB,5.6,4.5,6.8,4.8
137871,PTC,PTC INC,US,Software & Services,A,7.1,4.7,5.5,6.1
138124,PTCT,"PTC THERAPEUTICS, INC",US,Biotechnology,B,2.1,3.2,4.3,3.8
138251,PTON,"PELOTON INTERACTIVE, INC",US,Leisure Products,CCC,0.0,1.0,1.4,3.6
138380,PVH,PVH CORP,US,"Textiles, Apparel & Luxury Goods",AA,7.9,6.3,5.8,5.4
138633,PWR,"QUANTA SERVICES, INC",US,Construction & Engineering,AA,8.1,3.8,5.4,6.7
138886,PXD,PIONEER NATURAL RESOURCES COMPANY,US,Oil & Gas Exploration & Production,BBB,5.7,3.4,6.4,4.9
139139,PYPL,"PAYPAL HOLDINGS, INC",US,Software & Services,A,7.1,10.0,4.9,5.0
139392,QCOM,QUALCOMM INCORPORATED,US,Semiconductors & Semiconductor Equipment,BB,3.6,3.9,7.4,5.8
139645,QDEL,QUIDEL CORPORATION,US,Health Care Equipment & Supplies,A,5.8,6.0,4.5,6.5
139837,QGEN,Qiagen NV,NL,Health Care Equipment & Supplies,A,6.3,10.0,6.0,5.8
140090,QLYS,Qualys Inc,US,Software & Services,BBB,4.3,6.7,2.9,5.4
140282,QRTEA,LIBERTY INTERACTIVE LLC,US,"Broadcasting, Cable & Satellite",B,2.4,3.9,6.2,3.0
140283,QRTEA,"QURATE RETAIL, INC",US,Retail - Consumer Discretionary,B,2.4,3.9,6.2,3.0
140538,QRVO,"QORVO, INC",US,Semiconductors & Semiconductor Equipment,A,6.1,5.6,4.0,6.5
140791,QTWO,"Q2 HOLDINGS, INC",US,Software & Services,BB,4.0,4.3,5.0,5.1
141044,RAMP,"LIVERAMP HOLDINGS, INC",US,Software & Services,BB,2.9,3.8,2.7,5.5
141045,RARE,Ultragenyx Pharmaceutical Inc,US,Biotechnology,A,6.2,5.3,4.8,5.4
141237,RRX,Regal Rexnord Corporation,US,Electrical Equipment,A,6.3,4.2,6.0,6.0
141429,RCL,ROYAL CARIBBEAN CRUISES LTD,US,Hotels & Travel,BB,4.0,5.0,4.2,3.0
141682,RDFN,REDFIN CORPORATION,US,Real Estate Management & Services,B,1.6,1.9,4.7,5.2
141811,RDN,RADIAN GROUP INC,US,Banks,BBB,5.7,5.3,3.4,6.0
141935,REG,REGENCY CENTERS CORPORATION,US,Real Estate Management & Services,BBB,5.0,5.9,5.6,4.9
142188,REGN,"REGENERON PHARMACEUTICALS, INC",US,Biotechnology,BBB,5.5,6.3,6.0,3.2
142441,RETA,"REATA PHARMACEUTICALS, INC",US,Pharmaceuticals,BBB,5.0,8.1,6.1,4.7
142630,REXR,"REXFORD INDUSTRIAL REALTY, INC",US,Real Estate Management & Services,BB,3.9,5.5,2.9,5.8
142883,REYN,REYNOLDS CONSUMER PRODUCTS INC,US,Household & Personal Products,CCC,0.5,2.6,1.9,3.6
143075,RF,EURAZEO SE,FR,Diversified Financials,AA,8.4,8.8,4.7,6.7
143076,RF,REGIONS FINANCIAL CORPORATION,US,Banks,AA,8.4,6.4,4.4,5.9
143581,RGA,"REINSURANCE GROUP OF AMERICA, INCORPORATED",US,Multi-Line Insurance & Brokerage,BBB,5.0,5.3,4.7,6.6
143834,RGEN,REPLIGEN CORPORATION,US,Health Care Equipment & Supplies,BBB,5.5,5.8,4.4,5.8
144087,RGLD,"ROYAL GOLD, INC",US,Metals and Mining - Precious Metals,AA,7.6,4.2,5.9,6.3
144340,RH,RH,US,Retail - Consumer Discretionary,BB,3.7,3.0,4.0,4.8
144530,RHI,ROBERT HALF INTERNATIONAL INC,US,Professional Services,AA,8.5,9.0,6.8,6.3
144783,RHP,"RYMAN HOSPITALITY PROPERTIES, INC",US,Real Estate Management & Services,BB,3.4,5.6,3.5,5.4
144844,RIG,Transocean Ltd,CH,Energy Equipment & Services,BB,3.2,4.6,5.5,5.3
144905,RJF,"RAYMOND JAMES FINANCIAL, INC",US,Investment Banking & Brokerage,BBB,5.3,3.5,3.2,5.9
145158,RL,RALPH LAUREN CORPORATION,US,"Textiles, Apparel & Luxury Goods",BBB,5.7,7.1,4.3,3.7
145411,RLAY,Relay Therapeutics Inc,US,Biotechnology,B,2.4,5.1,3.9,3.1
145475,RLI,RLI CORP,US,Property & Casualty Insurance,B,2.4,0.7,3.1,6.0
145728,RMD,RESMED INC,US,Health Care Equipment & Supplies,AA,7.4,8.9,6.4,5.2
145981,RNG,"RINGCENTRAL, INC",US,Software & Services,A,7.1,5.9,6.0,5.2
146234,RNR,RENAISSANCERE HOLDINGS LTD,BM,Multi-Line Insurance & Brokerage,BB,3.7,3.0,3.2,6.8
146487,ROK,"ROCKWELL AUTOMATION, INC",US,Electrical Equipment,A,6.7,6.6,6.1,4.5
146740,ROKU,"ROKU, INC",US,Media & Entertainment,BB,3.7,6.6,3.3,4.9
146993,ROL,"ROLLINS, INC",US,Commercial Services & Supplies,A,6.3,4.7,5.9,4.6
147246,ROLL,RBC BEARINGS INCORPORATED,US,Industrial Machinery,CCC,0.9,1.5,4.8,3.9
147434,ROP,"ROPER TECHNOLOGIES, INC",US,Industrial Conglomerates,A,7.0,4.8,4.2,5.3
147687,ROST,"ROSS STORES, INC",US,Retail - Consumer Discretionary,BBB,5.1,3.8,3.8,5.9
147940,RPD,"RAPID7, INC",US,Software & Services,A,6.7,7.0,4.9,5.1
147941,RPM,RPM INTERNATIONAL INC,US,Specialty Chemicals,BB,3.9,4.1,2.5,5.3
148194,RS,RELIANCE STEEL & ALUMINUM CO,US,Steel,A,7.1,4.2,3.6,6.8
148447,RSG,"REPUBLIC SERVICES, INC",US,Commercial Services & Supplies,A,6.5,5.6,5.4,6.3
148448,RSG,RESOLUTE MINING LIMITED,AU,Metals and Mining - Precious Metals,A,6.8,3.6,5.0,6.9
148953,RTN,THE RESTAURANT GROUP PLC,GB,Restaurants,BBB,4.3,2.2,3.7,6.7
149017,RTX,RAYTHEON COMPANY,US,Aerospace & Defense,BBB,5.5,4.9,3.9,5.1
149270,RUN,SUNRUN INC,US,Utilities,A,6.5,8.1,5.5,4.8
149335,ZWS,ZURN WATER SOLUTIONS CORPORATION,US,Building Products,A,6.0,2.8,6.7,6.2
149588,RXT,"RACKSPACE TECHNOLOGY GLOBAL, INC",US,Software & Services,A,6.2,4.8,4.9,5.3
149652,RYN,RAYONIER INC,US,Paper & Forest Products,BB,3.7,8.2,3.4,6.2
149840,SABR,SABRE CORPORATION,US,Software & Services,BB,2.9,8.0,3.1,4.1
149901,SAFE,SAFEHOLD INC,US,Real Estate Management & Services,B,1.8,4.6,2.4,4.7
149902,SAFE,SAFESTORE HOLDINGS PLC,GB,Real Estate Management & Services,AA,7.9,5.1,5.0,8.0
150027,SAFM,"SANDERSON FARMS, INC",US,Food Products,B,2.7,1.0,4.4,4.4
150151,SAGE,"SAGE THERAPEUTICS, INC",US,Biotechnology,B,1.7,5.1,4.2,3.2
150152,SAIA,"SAIA, INC",US,Road & Rail Transport,A,6.9,3.9,3.4,6.7
150153,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,US,Professional Services,BB,4.1,10.0,2.8,7.5
150406,SAIL,"SAILPOINT TECHNOLOGIES HOLDINGS, INC",US,Software & Services,BB,3.6,7.0,3.2,4.4
150471,SAM,"THE BOSTON BEER COMPANY, INC",US,Beverages,B,2.3,0.9,4.4,5.7
150724,SBAC,SBA Communications Corporation,US,Telecommunication Services,A,7.1,6.2,7.6,4.7
150977,SBNY,SIGNATURE BANK,US,Banks,B,2.4,1.0,3.8,4.8
151230,SBRA,"SABRA HEALTH CARE REIT, INC",US,Real Estate Management & Services,BB,3.7,4.8,3.1,5.7
151291,SBUX,STARBUCKS CORPORATION,US,Restaurants,BBB,4.6,5.2,4.0,6.2
151544,SCCO,SOUTHERN COPPER CORPORATION,US,Metals and Mining - Non-Precious Metals,CCC,0.4,0.8,2.7,2.0
151797,SCHW,SCHWAB CAPITAL TRUST I,US,Investment Banking & Brokerage,BBB,4.6,10.0,3.5,3.6
152050,SCI,SERVICE CORPORATION INTERNATIONAL,US,Diversified Consumer Services,BBB,5.2,5.9,4.8,4.7
152303,SDGR,Schrodinger Inc,US,Health Care Equipment & Supplies,B,2.1,6.7,3.7,4.5
152431,SEB,SEABOARD CORPORATION,US,Food Products,B,2.2,1.5,3.7,4.1
152619,SEDG,"SOLAREDGE TECHNOLOGIES, INC",IL,Semiconductors & Semiconductor Equipment,BBB,5.5,8.5,2.5,5.5
152872,SEE,SEALED AIR CORPORATION,US,Containers & Packaging,BBB,5.2,6.0,2.3,5.5
153125,SEIC,SEI INVESTMENTS COMPANY,US,Asset Management & Custody Banks,B,2.8,9.0,3.6,3.9
153378,SF,STIFEL FINANCIAL CORP,US,Investment Banking & Brokerage,B,2.6,3.1,1.1,5.2
153379,SF,Stillfront Group AB (publ),SE,Media & Entertainment,BBB,5.4,7.3,2.6,7.2
153756,SFIX,"STITCH FIX, INC",US,Retail - Consumer Discretionary,BB,3.4,1.9,4.2,4.3
153757,SGEN,SEAGEN INC,US,Biotechnology,BB,3.4,5.1,4.2,4.2
154010,SHW,THE SHERWIN-WILLIAMS COMPANY,US,Specialty Chemicals,A,5.9,6.6,3.3,4.4
154263,SIGI,"SELECTIVE INSURANCE GROUP, INC",US,Property & Casualty Insurance,BBB,5.7,1.2,4.7,6.7
154387,SIRI,SIRIUS XM HOLDINGS INC,US,Media & Entertainment,BBB,5.6,6.0,6.1,4.2
154388,SIRI,Sansiri Public Company Limited,TH,Real Estate Development & Diversified Activities,BBB,5.6,4.2,4.6,4.7
154893,SITE,"SITEONE LANDSCAPE SUPPLY, INC",US,Trading Companies & Distributors,AA,8.3,7.0,6.0,5.9
155085,SIVB,SVB FINANCIAL GROUP,US,Banks,A,7.1,0.0,4.0,6.7
155338,SIX,SIX FLAGS ENTERTAINMENT CORPORATION,US,Hotels & Travel,BBB,5.4,3.9,4.0,5.5
155399,SJM,THE J M SMUCKER COMPANY,US,Food Products,A,6.5,4.1,5.2,4.7
155652,SKX,"SKECHERS USA, INC",US,"Textiles, Apparel & Luxury Goods",B,1.9,1.6,3.1,3.4
155905,SLAB,SILICON LABORATORIES INC,US,Semiconductors & Semiconductor Equipment,BBB,5.5,4.7,5.8,5.1
156158,SLB,Schlumberger Finance BV,NL,Energy Equipment & Services,AA,7.6,8.3,6.0,6.0
156159,SLB,Schlumberger Investment SA,LU,Energy Equipment & Services,AA,7.6,8.3,6.0,6.0
156160,SLB,Schlumberger NV,US,Energy Equipment & Services,AA,7.6,8.3,6.0,6.0
156917,SLG,SL GREEN REALTY CORP,US,Real Estate Management & Services,BBB,4.7,8.5,5.8,2.6
