,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,County_Raw,County,State,2010,2015,2020
0,36,079,00974138,0500000US36079,36079,Putnam,06,596526069,41260930,"POLYGON ((-73.98138399999999 41.324692999999996, -73.961257 41.348538999999995, -73.947294 41.394765, -73.959136 41.400442, -73.98148599999999 41.438905, -73.933775 41.488279, -73.692664 41.512246, -73.67328499999999 41.514700999999995, -73.647635 41.518293, -73.57978299999999 41.526461, -73.530067 41.527194, -73.533969 41.479693, -73.534055 41.478967999999995, -73.53415 41.47806, -73.534269 41.476911, -73.534269 41.476394, -73.534369 41.475894, -73.53529546019818 41.463495977276594, -73.535769 41.457159, -73.535857 41.455709, -73.535885 41.455236, -73.535986 41.45306, -73.536067 41.451330999999996, -73.536969 41.441094, -73.537469 41.43589, -73.537673 41.433904999999996, -73.541169 41.405994, -73.5434148559124 41.3767540709835, -73.543425 41.376622, -73.54472799999999 41.366375, -73.659871 41.355098999999996, -73.780007 41.342492, -73.797456 41.340647, -73.86201 41.334264, -73.89345999999999 41.330892, -73.982584 41.321692999999996, -73.98138399999999 41.324692999999996))",Putnam County; New York,Putnam,36,1216,1234,1489
1,36,081,00974139,0500000US36081,36081,Queens,06,281734474,179364919,"POLYGON ((-73.961381 40.742802, -73.960211 40.744510999999996, -73.935323 40.770485, -73.934412 40.778093, -73.928277 40.776899, -73.920999 40.781749, -73.917171 40.784192999999995, -73.91245599999999 40.796096, -73.89218199999999 40.790394, -73.885303 40.786685, -73.871631 40.786798, -73.87097299999999 40.789057, -73.862965 40.79767, -73.846654 40.801024, -73.82758299999999 40.803936, -73.81129899999999 40.805397, -73.793559 40.80038, -73.7864227032759 40.801457217426396, -73.781369 40.794906999999995, -73.776032 40.795275, -73.7691495733027 40.8001908918927, -73.750295 40.782478, -73.701633 40.752493, -73.700582 40.743184, -73.70002 40.73939, -73.707647 40.727796, -73.724722 40.724314, -73.73032599999999 40.722156999999996, -73.729176 40.719167, -73.72697099999999 40.710715, -73.725861 40.683223, -73.728107 40.665344999999995, -73.724874 40.653447, -73.732208 40.650090999999996, -73.736735 40.649100000000004, -73.73996 40.635144, -73.743295 40.638048, -73.748001 40.634631, -73.767425 40.626605999999995, -73.768761 40.624351999999995, -73.766719 40.615004, -73.75473199999999 40.610405, -73.745633 40.611756, -73.737185 40.592965, -73.7503555869235 40.5895220262279, -73.756868 40.591840999999995, -73.774928 40.590759, -73.834408 40.577200999999995, -73.905141 40.556401, -73.940591 40.542896, -73.934060795753 40.566802967851096, -73.9333949765105 40.5692405208928, -73.885069 40.573749, -73.849852 40.588668999999996, -73.834463 40.607192999999995, -73.833041 40.628260999999995, -73.848338 40.643521, -73.855021 40.643097999999995, -73.85763299999999 40.671656, -73.861318 40.675021, -73.861712 40.676611, -73.863349 40.679352, -73.863787 40.681114, -73.866027 40.681917999999996, -73.868717 40.694621999999995, -73.879616 40.691106, -73.896518 40.682397, -73.908774 40.698254999999996, -73.914031 40.704749, -73.92271099999999 40.716477999999995, -73.923127 40.717023999999995, -73.924278 40.718536, -73.92417999999999 40.72002, -73.927801 40.726493999999995, -73.92921299999999 40.727779999999996, -73.931825 40.728482, -73.953907 40.739421, -73.96247799999999 40.736802, -73.961381 40.742802))",Queens County; New York,Queens,36,1181,1367,1629
2,36,085,00974141,0500000US36085,36085,Richmond,06,148972685,115952653,"POLYGON ((-74.258556 40.506232, -74.25166 40.517448, -74.246408 40.524356999999995, -74.248787 40.533032999999996, -74.249211 40.545063999999996, -74.239211 40.553764, -74.2274 40.558034, -74.216839 40.558617999999996, -74.2168256483963 40.558646517311, -74.21148099999999 40.570062, -74.20751899999999 40.582741, -74.203688 40.592690999999995, -74.199421 40.59988, -74.20375899999999 40.606604, -74.202434 40.61655, -74.203485 40.625057999999996, -74.202247 40.630902999999996, -74.2004476063965 40.6326074142268, -74.1971585770214 40.6357228351377, -74.187754 40.644631, -74.18139 40.646474999999995, -74.170611 40.645289, -74.1615257647334 40.64424617068519, -74.1614075238905 40.6442325986627, -74.143255 40.642148999999996, -74.128151 40.643902, -74.109976 40.648011, -74.093746 40.648239, -74.086806 40.651596, -74.075884 40.648101, -74.0697 40.641216, -74.06759799999999 40.623864999999995, -74.063144532299 40.616579508357304, -74.062742 40.615921, -74.053125 40.603677999999995, -74.0596877161933 40.594075018201096, -74.06231199999999 40.590235, -74.085912 40.570274, -74.112585 40.547602999999995, -74.12728899999999 40.53814, -74.137241 40.530076, -74.14442799999999 40.53516, -74.14469174808059 40.5350421901054, -74.155333 40.530288999999996, -74.17038099999999 40.522794999999995, -74.182157 40.520634, -74.199923 40.511728999999995, -74.21047399999999 40.509448, -74.219787 40.502603, -74.23324 40.501298999999996, -74.24668799999999 40.496103, -74.252838 40.498087999999996, -74.260611 40.502435999999996, -74.258556 40.506232))",Richmond County; New York,Richmond,36,1107,1169,1379
3,34,027,00882231,0500000US34027,34027,Morris,06,1192855212,54286849,"POLYGON ((-74.850263 40.804173, -74.81860999999999 40.836484999999996, -74.82165499999999 40.848498, -74.802003 40.863732, -74.806776 40.882082, -74.779094 40.906348, -74.769425 40.910934, -74.731994 40.920817, -74.713482 40.902305999999996, -74.71133999999999 40.89918, -74.65303 40.921623, -74.636163 40.942639, -74.641044 40.964425999999996, -74.614605 40.990676, -74.535808 41.058485999999995, -74.50321199999999 41.085873, -74.486925 41.076736, -74.50169199999999 41.042097999999996, -74.497777 41.034261, -74.48131099999999 41.045508999999996, -74.447069 41.054423, -74.427768 41.037104, -74.43504 41.020021, -74.42354999999999 41.027696999999996, -74.406204 41.024176, -74.38938 41.012305999999995, -74.362826 41.013127, -74.350189 41.003975, -74.328456 41.001264, -74.301434 40.999244999999995, -74.300029 41.003115, -74.297175 40.979442999999996, -74.27754 40.973611999999996, -74.282158 40.936625, -74.282637 40.91688, -74.26659699999999 40.908609, -74.272407 40.897957999999996, -74.272063 40.897427, -74.32611399999999 40.908605, -74.33635699999999 40.866613, -74.329854 40.849301, -74.329161 40.838557, -74.337921 40.813538, -74.36706199999999 40.793285999999995, -74.37556 40.758404, -74.367145 40.761112, -74.357547 40.754788, -74.364876 40.749804999999995, -74.371738 40.73964, -74.384266 40.724492, -74.390776 40.725387999999995, -74.39074699999999 40.718446, -74.44376199999999 40.688038, -74.454183 40.674088, -74.461035 40.673504, -74.523078 40.649125, -74.529567 40.664673, -74.513717 40.69775, -74.53089299999999 40.729853999999996, -74.549005 40.740935, -74.550095 40.747327, -74.556018 40.758288, -74.63126199999999 40.741141999999996, -74.657258 40.735215, -74.724415 40.719456, -74.797973 40.742186, -74.82388 40.742357999999996, -74.889819 40.787729, -74.850263 40.804173))",Morris County; New Jersey,Morris,34,1221,1357,1622
4,34,019,00882228,0500000US34019,34019,Hunterdon,06,1108065331,24782521,"POLYGON ((-75.19511399999999 40.579688999999995, -75.194656 40.581939999999996, -75.19079599999999 40.586838, -75.190146 40.590359, -75.190369434453 40.5916420033367, -75.180989 40.594204, -75.14590799999999 40.628659999999996, -75.108359 40.639753999999996, -75.07720599999999 40.663325, -75.016943 40.694612, -74.98338799999999 40.705372, -74.968927 40.710392, -74.927262 40.754573, -74.889819 40.787729, -74.82388 40.742357999999996, -74.797973 40.742186, -74.724415 40.719456, -74.715966 40.700880999999995, -74.730594 40.665737, -74.72395 40.646858, -74.72654399999999 40.63241, -74.702703 40.621117, -74.721752 40.600702, -74.71315 40.583903, -74.742659 40.553898, -74.77597899999999 40.503606, -74.79784099999999 40.515557, -74.78249 40.48779, -74.748147 40.424155999999996, -74.80847 40.416664, -74.802016 40.384972, -74.869678 40.377773999999995, -74.856262 40.346696, -74.932277 40.339427, -74.9429542775691 40.3416426197195, -74.943776 40.342563999999996, -74.945088 40.347332, -74.946006 40.357306, -74.948722 40.364768, -74.95369699999999 40.376081, -74.9540018446549 40.376648218234095, -74.96399699999999 40.395246, -74.965508 40.397337, -74.969597 40.39977, -74.98273499999999 40.404432, -74.985467 40.405935, -74.988901 40.408773, -74.99637799999999 40.410528, -74.998651 40.410092999999996, -75.003351 40.407849999999996, -75.01722099999999 40.404638, -75.02477499999999 40.403455, -75.02831499999999 40.403883, -75.036616 40.406796, -75.041651 40.409894, -75.0417605522261 40.4100258484186, -75.043071 40.411603, -75.0444082558835 40.412463450655196, -75.04647299999999 40.413792, -75.056102 40.416066, -75.058848 40.418065, -75.06066217472039 40.4213505727709, -75.061489 40.422847999999995, -75.062923 40.433406999999995, -75.067425 40.448322999999995, -75.070568 40.455165, -75.070568 40.456348, -75.067302 40.464954, -75.06805 40.468578, -75.067776 40.472826999999995, -75.06432699999999 40.476794999999996, -75.062227 40.481390999999995, -75.061937 40.486362, -75.062373 40.491689, -75.065275 40.504681999999995, -75.066001 40.510715999999995, -75.06585299999999 40.519495, -75.06509 40.526148, -75.066402 40.536532, -75.067257 40.539584, -75.068615 40.542223, -75.078503 40.548296, -75.09570000000001 40.564401, -75.100325 40.567811, -75.110903 40.570671, -75.11729199999999 40.573211, -75.136748 40.575731, -75.14190599999999 40.575272999999996, -75.147368 40.573152, -75.158446 40.565286, -75.162871 40.564096, -75.168609 40.564111, -75.175307 40.564996, -75.183151 40.567354, -75.186737 40.569406, -75.192352 40.574256999999996, -75.194046 40.576256, -75.19487 40.578590999999996, -75.19511399999999 40.579688999999995))",Hunterdon County; New Jersey,Hunterdon,34,1154,1328,1443
5,34,035,00882234,0500000US34035,34035,Somerset,06,781816438,8009058,"POLYGON ((-74.79784099999999 40.515557, -74.77597899999999 40.503606, -74.742659 40.553898, -74.71315 40.583903, -74.721752 40.600702, -74.702703 40.621117, -74.72654399999999 40.63241, -74.72395 40.646858, -74.730594 40.665737, -74.715966 40.700880999999995, -74.724415 40.719456, -74.657258 40.735215, -74.63126199999999 40.741141999999996, -74.556018 40.758288, -74.550095 40.747327, -74.549005 40.740935, -74.53089299999999 40.729853999999996, -74.513717 40.69775, -74.529567 40.664673, -74.523078 40.649125, -74.461035 40.673504, -74.450846 40.654148, -74.42986599999999 40.664992999999996, -74.403486 40.666657, -74.40352 40.654655999999996, -74.41380199999999 40.64101, -74.424401 40.619544999999995, -74.463291 40.599187, -74.486054 40.588333999999996, -74.512154 40.582074999999996, -74.523917 40.569669999999995, -74.526637 40.559469, -74.519843 40.555583999999996, -74.515872 40.544984, -74.458956 40.495979999999996, -74.489491 40.474452, -74.495317 40.468941, -74.53152 40.441355, -74.584987 40.418175999999995, -74.58770899999999 40.394418, -74.62024 40.373749, -74.622682 40.384336, -74.653928 40.391048, -74.722061 40.375205, -74.748147 40.424155999999996, -74.78249 40.48779, -74.79784099999999 40.515557))",Somerset County; New Jersey,Somerset,34,1295,1411,1636
6,36,059,00974128,0500000US36059,36059,Nassau,06,737085188,437386635,"POLYGON ((-73.768301 40.800796999999996, -73.754032 40.820941, -73.7544 40.826837, -73.728275 40.852900000000005, -73.726675 40.8568, -73.73067499999999 40.8654, -73.729575 40.8665, -73.713674 40.870098999999996, -73.675573 40.856998999999995, -73.6706921399942 40.8587084530247, -73.655872 40.863898999999996, -73.654372 40.878198999999995, -73.641072 40.892599, -73.633771 40.898198, -73.626972 40.899397, -73.617571 40.897898, -73.60186999999999 40.902798, -73.59517 40.907298, -73.569969 40.915397999999996, -73.566169 40.915797999999995, -73.548068 40.908698, -73.519267 40.914297999999995, -73.514999 40.912821, -73.49994099999999 40.918166, -73.4970614703723 40.92280082944009, -73.477307 40.899249999999995, -73.476079 40.877111, -73.462259 40.86671, -73.44511299999999 40.785557, -73.444096 40.781606, -73.4385 40.751311, -73.43600599999999 40.739458, -73.432934 40.723538999999995, -73.432175 40.71974, -73.431821 40.717969, -73.431139 40.712731, -73.428103 40.697513, -73.427871 40.696283, -73.42388 40.655972999999996, -73.42534599999999 40.651818, -73.4238050058968 40.6098498176898, -73.484901465472 40.5978245108009, -73.507325 40.593410999999996, -73.55909299999999 40.582027, -73.570083 40.584012, -73.57441375392109 40.58440388067469, -73.610873 40.587703, -73.640902 40.582823, -73.74268599999999 40.586791, -73.7503555869235 40.5895220262279, -73.737185 40.592965, -73.745633 40.611756, -73.75473199999999 40.610405, -73.766719 40.615004, -73.768761 40.624351999999995, -73.767425 40.626605999999995, -73.748001 40.634631, -73.743295 40.638048, -73.73996 40.635144, -73.736735 40.649100000000004, -73.732208 40.650090999999996, -73.724874 40.653447, -73.728107 40.665344999999995, -73.725861 40.683223, -73.72697099999999 40.710715, -73.729176 40.719167, -73.73032599999999 40.722156999999996, -73.724722 40.724314, -73.707647 40.727796, -73.70002 40.73939, -73.700582 40.743184, -73.701633 40.752493, -73.750295 40.782478, -73.7691495733027 40.8001908918927, -73.768301 40.800796999999996))",Nassau County; New York,Nassau,36,1407,1578,1831
7,36,103,00974149,0500000US36103,36103,Suffolk,06,2361492153,3784901731,"MULTIPOLYGON (((-72.034958 41.255458, -72.029438 41.26309, -72.023422 41.270993999999995, -72.018926 41.274114, -72.006872 41.27348, -71.991117 41.281331, -71.98006099999999 41.280291, -71.95286399999999 41.285098, -71.943563 41.286674999999995, -71.926802 41.290122, -71.935259 41.280578999999996, -71.94627 41.276306, -71.962598 41.270967999999996, -71.978926 41.265001999999996, -71.994717 41.256451, -72.002461 41.252866999999995, -72.036846 41.249794, -72.034958 41.255458)), ((-72.142929 41.097811, -72.140737 41.100835, -72.13222499999999 41.104386999999996, -72.12835199999999 41.108131, -72.126704 41.115139, -72.08420699999999 41.101524, -72.081167 41.093939999999996, -72.086975 41.058292, -72.095711 41.05402, -72.0972 41.054884, -72.09713599999999 41.075844, -72.103152 41.086484, -72.10640000000001 41.088882999999996, -72.12056 41.093171, -72.13923299999999 41.092451, -72.141921 41.094370999999995, -72.142929 41.097811)), ((-72.21412 41.182817, -72.189163 41.193549, -72.158265 41.197126, -72.161034 41.188671, -72.18203299999999 41.178345, -72.187975 41.1694, -72.199859 41.160453, -72.21649699999999 41.170294, -72.21412 41.182817)), ((-73.496642 40.923476, -73.491765 40.942097, -73.485365 40.946397, -73.478365 40.942296999999996, -73.463708 40.937697, -73.436664 40.934897, -73.429863 40.929797, -73.4293168342383 40.9253877883836, -73.42883599999999 40.921506, -73.40607399999999 40.920235, -73.402963 40.925097, -73.40346199999999 40.942197, -73.400862 40.953997, -73.399762 40.955197, -73.392862 40.955297, -73.374462 40.937597, -73.365961 40.931697, -73.352761 40.926697, -73.345561 40.925297, -73.344161 40.927296999999996, -73.33136 40.929597, -73.295059 40.924496999999995, -73.2369377995271 40.907375396017194, -73.22928499999999 40.905121, -73.148994 40.928898, -73.14848903048039 40.9300312455499, -73.146242 40.935074, -73.144673 40.955842, -73.140785 40.966178, -73.110368 40.971938, -73.09514812823929 40.9725301717631, -73.081582 40.973057999999995, -73.0496600156786 40.9638954188768, -73.043701 40.962185, -73.04044499999999 40.964498, -72.995931 40.966498, -72.955163 40.966145999999995, -72.913834 40.962466, -72.88825 40.962962, -72.82605699999999 40.969794, -72.774104 40.965314, -72.745656 40.968444999999996, -72.708069 40.977851, -72.685761 40.980288, -72.663707 40.979676999999995, -72.635562 40.981957, -72.58532699999999 40.997586999999996, -72.565406 41.009508, -72.560974 41.015443999999995, -72.549853 41.019844, -72.521548 41.037652, -72.477306 41.052212, -72.46077799999999 41.067012, -72.445242 41.086116, -72.417945 41.087955, -72.402625 41.096928999999996, -72.354123 41.139952, -72.33058299999999 41.147031, -72.312775 41.148002, -72.29110899999999 41.155874, -72.278789 41.158722, -72.272997 41.15501, -72.2681 41.154146, -72.24534799999999 41.161217, -72.23821099999999 41.15949, -72.237731 41.156434, -72.25357199999999 41.137138, -72.265124 41.128482, -72.30037399999999 41.112274, -72.300044 41.132059, -72.306381 41.13784, -72.31273399999999 41.138546, -72.318146 41.137133999999996, -72.32663 41.132162, -72.33527099999999 41.120273999999995, -72.3352138798347 41.1121574675718, -72.335177 41.106916999999996, -72.317238 41.088659, -72.297718 41.081042, -72.280373 41.080402, -72.276709 41.076722, -72.283093 41.067873999999996, -72.273657 41.051533, -72.260515 41.042065, -72.241252 41.04477, -72.22936399999999 41.044354999999996, -72.21747599999999 41.040611, -72.201859 41.032275, -72.190563 41.032579, -72.183266 41.035619, -72.17949 41.038435, -72.174882 41.046147, -72.162898 41.053187, -72.16037 41.053827, -72.153857 41.051859, -72.137297 41.039684, -72.135137 41.031284, -72.13740899999999 41.023908, -72.116368 40.999795999999996, -72.109008 40.994084, -72.10216 40.991509, -72.095456 40.991349, -72.083039 40.996452999999995, -72.079951 41.003429, -72.079208 41.006437, -72.07617499999999 41.009093, -72.061448 41.009442, -72.057934 41.004788999999995, -72.057075 41.004892999999996, -72.055188 41.005236, -72.051585 41.006437, -72.049526 41.009696999999996, -72.051549 41.015741, -72.051928 41.020506, -72.047468 41.022565, -72.035792 41.020759, -72.015013 41.028348, -71.99925999999999 41.039668999999996, -71.96704 41.047771999999995, -71.961078 41.054277, -71.96035499999999 41.059878, -71.961563 41.064021, -71.959595 41.071236999999996, -71.93825 41.077413, -71.91938499999999 41.080517, -71.899256 41.080836999999995, -71.895496 41.077380999999995, -71.889543 41.075700999999995, -71.869558 41.075046, -71.86447 41.076918, -71.857494 41.073558, -71.856214 41.070598, -71.87391 41.052278, -71.903736 41.040166, -71.935689 41.034182, -72.02935699999999 40.999908999999995, -72.114448 40.972085, -72.39585 40.866659999999996, -72.469996 40.84274, -72.573441 40.813251, -72.7280770672225 40.771694700693395, -72.74520799999999 40.767091, -72.753112 40.763571, -72.757176 40.764371, -72.768152 40.761587, -72.863164 40.732962, -72.87286853017079 40.7297815644669, -72.923214 40.713282, -73.012545 40.679651, -73.054963 40.666371, -73.14526632896501 40.645491035999, -73.20844 40.630883999999995, -73.23913999999999 40.6251, -73.262106 40.621476, -73.2644932067679 40.6214371923939, -73.30639599999999 40.620756, -73.326262 40.6331, -73.35146499999999 40.630500000000005, -73.417311 40.611128, -73.4238050058968 40.6098498176898, -73.42534599999999 40.651818, -73.42388 40.655972999999996, -73.427871 40.696283, -73.428103 40.697513, -73.431139 40.712731, -73.431821 40.717969, -73.432175 40.71974, -73.432934 40.723538999999995, -73.43600599999999 40.739458, -73.4385 40.751311, -73.444096 40.781606, -73.44511299999999 40.785557, -73.462259 40.86671, -73.476079 40.877111, -73.477307 40.899249999999995, -73.4970614703723 40.92280082944009, -73.496642 40.923476)))",Suffolk County; New York,Suffolk,36,1427,1544,1810
8,34,013,00882276,0500000US34013,34013,Essex,06,326557460,8638172,"POLYGON ((-74.37556 40.758404, -74.36706199999999 40.793285999999995, -74.337921 40.813538, -74.329161 40.838557, -74.329854 40.849301, -74.33635699999999 40.866613, -74.32611399999999 40.908605, -74.272063 40.897427, -74.270702 40.89692, -74.26428899999999 40.886905999999996, -74.24677799999999 40.880987999999995, -74.24029 40.880435999999996, -74.205196 40.861035, -74.19787199999999 40.857053, -74.182662 40.848783999999995, -74.130016 40.819938, -74.139575 40.805409, -74.13808499999999 40.798846, -74.14752899999999 40.786491, -74.148326 40.779606, -74.160325 40.763293, -74.16597999999999 40.748067999999996, -74.161958 40.736007, -74.155687 40.733501, -74.147188 40.734401, -74.14268799999999 40.739301, -74.137492 40.741398, -74.12278599999999 40.742101, -74.117605 40.739638, -74.116993 40.737125, -74.120987 40.722901, -74.117057 40.710381, -74.112787 40.703102, -74.136703 40.674444, -74.16238899999999 40.689613, -74.209248 40.690709, -74.212972 40.70081, -74.221949 40.707341, -74.256022 40.713418, -74.285187 40.722152, -74.297212 40.715188999999995, -74.303523 40.713187999999995, -74.32559599999999 40.717075, -74.371738 40.73964, -74.364876 40.749804999999995, -74.357547 40.754788, -74.367145 40.761112, -74.37556 40.758404))",Essex County; New Jersey,Essex,34,977,1068,1211
9,34,031,00882232,0500000US34031,34031,Passaic,06,481767290,32057601,"POLYGON ((-74.50321199999999 41.085873, -74.422315 41.160382999999996, -74.367312185113 41.2036716043384, -74.320995 41.182393999999995, -74.301994 41.172594, -74.28008919002339 41.1629553126403, -74.234473 41.142883, -74.2343582601916 41.142836102143896, -74.2113709734917 41.1334404575138, -74.250458 41.060815999999996, -74.270658 41.021032999999996, -74.26993399999999 41.016206, -74.248532 40.992094, -74.224533 40.981303, -74.211933 40.980167, -74.17114099999999 40.977066, -74.170275 40.983903999999995, -74.141048 40.966347999999996, -74.146514 40.948183, -74.148071 40.941643, -74.139749 40.923649999999995, -74.13233699999999 40.92243, -74.132823 40.897073999999996, -74.128481 40.894133, -74.130347 40.885641, -74.118078 40.876768, -74.10748099999999 40.863219, -74.12082099999999 40.858255, -74.12168299999999 40.834056, -74.130016 40.819938, -74.182662 40.848783999999995, -74.19787199999999 40.857053, -74.205196 40.861035, -74.24029 40.880435999999996, -74.24677799999999 40.880987999999995, -74.26428899999999 40.886905999999996, -74.270702 40.89692, -74.272063 40.897427, -74.272407 40.897957999999996, -74.26659699999999 40.908609, -74.282637 40.91688, -74.282158 40.936625, -74.27754 40.973611999999996, -74.297175 40.979442999999996, -74.300029 41.003115, -74.301434 40.999244999999995, -74.328456 41.001264, -74.350189 41.003975, -74.362826 41.013127, -74.38938 41.012305999999995, -74.406204 41.024176, -74.42354999999999 41.027696999999996, -74.43504 41.020021, -74.427768 41.037104, -74.447069 41.054423, -74.48131099999999 41.045508999999996, -74.497777 41.034261, -74.50169199999999 41.042097999999996, -74.486925 41.076736, -74.50321199999999 41.085873))",Passaic County; New Jersey,Passaic,34,1080,1184,1310
10,34,003,00882271,0500000US34003,34003,Bergen,06,602910975,35355101,"POLYGON ((-74.270658 41.021032999999996, -74.250458 41.060815999999996, -74.2113709734917 41.1334404575138, -74.1953371933152 41.1268869350132, -74.18239 41.121595, -74.096786 41.083796, -74.092486 41.081896, -74.041054 41.059087999999996, -74.041049 41.059086, -73.9589142691188 41.02233969118829, -73.91188 41.001297, -73.907054 40.998476, -73.90500999999999 40.997591, -73.90268 40.997296999999996, -73.893979 40.997197, -73.896479 40.981697, -73.8989276186366 40.974850797407, -73.9049158705604 40.9581079754602, -73.90728 40.951498, -73.91557999999999 40.924898, -73.91767999999999 40.919498, -73.91790499999999 40.917577, -73.91840499999999 40.917477, -73.9196864010756 40.9135352131528, -73.919705 40.913478, -73.929006 40.889578, -73.93340599999999 40.882078, -73.938081 40.874699, -73.9381535187682 40.8745831121645, -73.948281 40.858399, -73.953982 40.848, -73.963182 40.8269, -73.9679734153723 40.820837392794196, -73.967982575439 40.8208258025057, -73.968082 40.8207, -73.97004794249119 40.8179689078315, -73.97122753768102 40.81633021127801, -73.98382706989679 40.7988269099791, -73.99830299999999 40.808476999999996, -74.012339 40.816019999999995, -74.01141 40.817690999999996, -74.011788 40.819842, -74.011376 40.820837999999995, -74.01377 40.823059, -74.017819 40.823341, -74.044923 40.807555, -74.076753 40.795621, -74.09078699999999 40.761984, -74.10100299999999 40.776039, -74.130359 40.777564, -74.14752899999999 40.786491, -74.13808499999999 40.798846, -74.139575 40.805409, -74.130016 40.819938, -74.12168299999999 40.834056, -74.12082099999999 40.858255, -74.10748099999999 40.863219, -74.118078 40.876768, -74.130347 40.885641, -74.128481 40.894133, -74.132823 40.897073999999996, -74.13233699999999 40.92243, -74.139749 40.923649999999995, -74.148071 40.941643, -74.146514 40.948183, -74.141048 40.966347999999996, -74.170275 40.983903999999995, -74.17114099999999 40.977066, -74.211933 40.980167, -74.224533 40.981303, -74.248532 40.992094, -74.26993399999999 41.016206, -74.270658 41.021032999999996))",Bergen County; New Jersey,Bergen,34,1236,1348,1557
