Song,Writers,Producers,Tags (themes + imagery),Sassy/sarcastic,Sad,Angry,Happy,Sum,Other emotion,Energy level (KN),Singability,Song notes,Personal notes,Spotify Track ID,Energy (Spotify),Energy
Fortnight (feat. Post Malone),"TS, JA, AP","TS, JA",lost love/heartbreak? drug use? ,2,3,3,1,9,"depressed, monotone?",0/1,1/2,"she says this is about the american dream gone wrong - you get the house and car, but not the one you wanted ",hard to tell based on the lyrics alone if the narrator is more sad or angry - read more closely,6dODwocEuGzHAavXqTbwHv,0.386,2
The Tortured Poets Department,"TS, JA","TS, JA",,2,2,2,0,6,mocking/self-depracation,2,,,hard to tell based on the lyrics alone if the narrator is more sad or angry - read more closely,4PdLaGZubp4lghChqp8erB,0.428,2
My Boy Only Breaks His Favorite Toys,TS,"TS, JA","lost love/heartbreak, childhood/toy",1,3,0,0,4,denial? mocking/self-depracation,3,2/3,imagery of child playing most with his favorite toy - leads to it breaking. toxic relationship - 'he hurts me bc he loves me',,7uGYWMwRy24dm7RUDDhUlD,0.563,2
Down Bad,"TS, JA","TS, JA","alien abduction, heartbreak",0,3,2,0,5,mocking/self-depracation,2,2,,,1kbEbBdEgQdQeLXCJh28pJ,0.366,2
"So Long, London","TS, AD","TS, AD",,,,,,0,,,,,,7wAkQFShJ27V8362MqevQr,0.533,2
But Daddy I Love Him,"TS, AD","TS, JA, AD",,3,0,1,3,7,strong,3,3,,again with the bridges woman!,4QMgEffJQuKtjCNvqfRZ0m,0.72,3
Fresh Out The Slammer,"TS, JA","TS, JA",criminal,,,,,0,,0/1,1,,,7IWcDWOfiooH5hRs9XOVYz,0.483,2
Florida!!! (feat. Florence + The Machine),"TS, FW","TS, JA","criminal, drug use?",3,,,,3,angsty sounding?,2,2/3,,,5ExOm0dh4NyRyAdSAO9hyM,0.573,2
Guilty as Sin?,"TS, JA","TS, JA","religious, reference to another artist?, TS self-reference",,0,0,,0,,3,2,Downtown lights - reference to another artist? Look up ,,799KrpEbhZp0MHeiA8YK9P,0.428,2
Who's Afraid of Little Old Me? ,TS,"TS, JA","circus, asylum, public perception, religious, children's story (who's afraid of the big bad wolf), wry sarcastic tone, literary reference, strength?confidence?",3,0,3,0,6,"strong, sarcastic",,,circus & asylum imagery used to compare how she was taken down publicly and everyone just watched it happen. biblical imagery too with levitation and coming down (almost as if being resurrected after being crucified). she's the big bad wolf - caged animal - both from the fairytale & in the circus.  ,,2d8UxVNhJinc8uat9PoM9y,0.338,2
I Can Fix Him (No Really I Can),"TS, JA","TS, JA",religious,2,,,0,2,,,,,,5chnRTB9qMK3W1M41SnU9s,0.257,1
loml,"TS, AD","TS, AD",heartbreak,,3,,,3,regretful?,,,,,3YkNIrAvbKNrrwwEd7NVLl,0.272,1
I Can Do It With a Broken Heart,"TS, JA","TS, JA","self-confidence, strength",3,3,0,1,7,strong,,,the sound elicits the glitz & glam of the eras tour - contrasts with the lyrics describing the misery she felt when performing and giving her all. ,,2fPvQfGQEZOKtJ9qXeL4x8,0.751,3
The Smallest Man Who Ever Lived,"TS, AD","TS, AD",,2,0,3,0,5,bitter?,2,3,,damn this woman can write a bridge and she gives us one that lasts for almost HALF of the song,1xtw1krCR6Dw2KwkXw5z63,0.41,2
The Alchemy,"TS, JA","TS, JA",,,,,,0,,,,,,1tuNqJOtRQVHvONR8Lg3MZ,0.421,2
Clara Bow,"TS, AD","TS, AD",,,,,,0,,,,reference to another artist (Stevie Nicks),,4d9PtIEVij9jW5OaLinH66,0.318,1
The Black Dog,TS,"TS, JA",,2,3,1,0,6,,2,2,"The Starting Line - reference to another artist? Look this up too
Former love goes to a bar called The Black Dog, she reminisces about how he left the relationship ""tail between [his] legs""",,62E2nR0od0M5HYxuYLaDz7,0.27,1
imgonnagetyouback,"TS, JA","TS, JA",,,,,,0,,,,,,1kcwpPDQnqEqmezzXdJTCP,0.391,2
The Albatross,"TS, AD","TS, AD",,,,,,0,,,,,,4EF6IyONolQy0bIQXm2EmX,0.479,2
Chloe or Sam or Sophia or Marcus,"TS, AD","TS, AD",,,,,,0,,,,,,1rmEsOezwf2lmIZTMAO5Ag,0.451,2
How Did It End?,"TS, AD","TS, AD","public perception & critique, death of relationship compared to actual death, heartbreak/lost love",3,2,2,0,7,,1,1,,,5Bedn0svl0ZD7RGmJkmKKw,0.379,2
So High School,"TS, AD","TS, AD","sports metaphors, retro references",2,0,0,3,5,,3,2,,,7Mts0OfPorF4iwOomvfqn1,0.866,3
I Hate It Here,"TS, AD","TS, AD",,,,,,0,,,,,,3hlGuz3loYoLfI3bpwieWq,0.562,2
thanK you aIMee,"TS, AD","TS, JA, AD",,,,,,0,,,,,,7ogK4lJDVDMU6A6vYR5rvD,0.541,2
I Look in People's Windows,"TS, JA, PB","TS, JA",,,,,,0,,,,,,1Zai5UJ2di3qEuR2HeT2s8,0.274,1
The Prophecy,"TS, AD","TS, AD",wish for things to be different,0,2,1,0,3,"imploring, wistful, wishful",,,"wish for things to be different, wanting to trade money and fame for love, cost of being in the public eye",,18WFFUIsewmA8g31KAeo3e,0.525,2
Cassandra,"TS, AD","TS, AD","religious, literary reference",1,,,,1,,,,Taylor herself is compared to Cassandra of Troy - not being believed/heard when speaking the truth; mob mentality being quick to condemn and quiet when the truth comes out,,0g4fMVo4JjwnIpTfFfLdxS,0.587,2
Peter,TS,"TS, AD","literary reference to children's tale, heartbreak",0,3,0,0,3,acceptance?,1,1/2,"Imagining that after the events of Peter Pan, Wendy waited for Peter - the narrator similarly waited (fruitlessly) for the one she loved to grow up and come back to her.",,3zMDGj4D8ogaYgAIZPeU7S,0.376,2
The Bolter,"TS, AD","TS, AD",,,,,,0,,,,,,2913xXOVAIDAqxzV2g4VcU,0.586,2
Robin,"TS, AD","TS, AD",,,,,,0,,,,,,2CnjDMdpRjlWv04Xk3s6MW,0.386,2
The Manuscript,TS,"TS, AD",,,,,,0,,,,,,1DTRUYVd8rYpla9hhVVwjo,0.256,1